wavenumber,intensity
1148.0,0.0487357974
1150.0,0.0431177989
1152.0,0.0387688167
1154.0,0.0322844759
1156.0,0.0261449199
1158.0,0.0234013684
1160.0,0.0212039594
1162.0,0.0149936918
1164.0,0.00635622721
1166.0,0.00169190171
1168.0,0.0002964616
1170.0,0.00150456442
1172.0,0.00125598896
1174.0,0.000849604665
1176.0,0.00462114811
1178.0,0.0102090714
1180.0,0.0137169249
1182.0,0.015419268
1184.0,0.0168040507
1186.0,0.0195785277
1188.0,0.0193995107
1190.0,0.0126584414
1192.0,0.00528949499
1194.0,0.002436304
1196.0,0.00603680592
1198.0,0.0105924495
1200.0,0.0117446305
1202.0,0.0116484165
1204.0,0.0118980044
1206.0,0.0107646948
1208.0,0.0092943199
1210.0,0.00768028526
1212.0,0.00793426018
1214.0,0.00811821222
1216.0,0.0075527071
1218.0,0.00692223292
1220.0,0.00728678703
1222.0,0.00700330781
1224.0,0.0047674533
1226.0,0.00513336668
1228.0,0.00763052702
1230.0,0.00698627252
1232.0,0.00373150106
1234.0,0.00219926843
1236.0,0.00396305323
1238.0,0.00977683067
1240.0,0.0184700489
1242.0,0.0282677189
1244.0,0.0388177149
1246.0,0.0509961396
1248.0,0.0656393543
1250.0,0.0869320855
1252.0,0.116717979
1254.0,0.153559923
1256.0,0.197274268
1258.0,0.247350112
1260.0,0.309313238
1262.0,0.390544355
1264.0,0.494107604
1266.0,0.617912889
1268.0,0.750812948
1270.0,0.901802897
1272.0,1.05477667
1274.0,1.1661998
1276.0,1.21495366
1278.0,1.19830763
1280.0,1.12568569
1282.0,1.02450967
1284.0,0.888908505
1286.0,0.739135385
1288.0,0.609976828
1290.0,0.508974433
1292.0,0.426710039
1294.0,0.354627788
1296.0,0.289791375
1298.0,0.247473285
1300.0,0.224892989
1302.0,0.199415386
1304.0,0.159603804
1306.0,0.115439504
1308.0,0.0834398493
1310.0,0.0702537298
1312.0,0.0667403936
1314.0,0.0653813556
1316.0,0.0686286911
1318.0,0.0713056996
1320.0,0.0671837553
1322.0,0.0569218621
1324.0,0.0451085828
1326.0,0.0368527882
1328.0,0.0332988724
1330.0,0.0300028808
1332.0,0.0266217459
1334.0,0.0277674906
1336.0,0.0299747959
1338.0,0.0266268272
1340.0,0.0179364923
1342.0,0.00942752417
1344.0,0.00288369646
1346.0,0.00451278687
1348.0,0.0072704074
1350.0,0.0143820047
1352.0,0.0238637701
1354.0,0.0283441525
1356.0,0.0234537609
1358.0,0.0126770018
1360.0,0.00293271546
1362.0,0.00121524336
1364.0,0.00533809653
1366.0,0.0111819981
1368.0,0.0169132464
1370.0,0.0243352652
1372.0,0.0376623161
1374.0,0.0558331236
1376.0,0.0735665113
1378.0,0.0857656971
1380.0,0.0967742652
1382.0,0.110132277
1384.0,0.124823615
1386.0,0.133114383
1388.0,0.13319388
1390.0,0.127696097
1392.0,0.124448627
1394.0,0.12972267
1396.0,0.14257355
1398.0,0.160623446
1400.0,0.177097619
1402.0,0.194618866
1404.0,0.219850019
1406.0,0.256055266
1408.0,0.297397643
1410.0,0.339278907
1412.0,0.379576445
1414.0,0.422925144
1416.0,0.468218863
1418.0,0.514457464
1420.0,0.566327512
1422.0,0.626180172
1424.0,0.694135666
1426.0,0.764941156
1428.0,0.836943507
1430.0,0.915956259
1432.0,1.01397038
1434.0,1.13081527
1436.0,1.27715027
1438.0,1.46545684
1440.0,1.70214081
1442.0,1.97225213
1444.0,2.26494312
1446.0,2.57709837
1448.0,2.89307594
1450.0,3.19132113
1452.0,3.42007518
1454.0,3.53287554
1456.0,3.54022884
1458.0,3.41737413
1460.0,3.16717076
1462.0,2.82681465
1464.0,2.44972706
1466.0,2.10688901
1468.0,1.8410821
1470.0,1.6331104
1472.0,1.48401463
1474.0,1.37703848
1476.0,1.30708945
1478.0,1.26073039
1480.0,1.23422861
1482.0,1.21244824
1484.0,1.16659796
1486.0,1.08569026
1488.0,0.980488598
1490.0,0.870484114
1492.0,0.761819363
1494.0,0.651987076
1496.0,0.543086529
1498.0,0.450791359
1500.0,0.379592776
1502.0,0.321976781
1504.0,0.269586653
1506.0,0.227347106
1508.0,0.190957636
1510.0,0.157546327
1512.0,0.126773626
1514.0,0.0990533158
1516.0,0.0763444155
1518.0,0.0607947819
1520.0,0.0488227606
1522.0,0.0437723882
1524.0,0.0431343764
1526.0,0.0411678106
1528.0,0.0371397249
1530.0,0.0276504047
