wavenumber,intensity,is_peak_UI_default,is_peak_prominence_5pct_range,is_peak_relaxed_5pct
1736.0,0.011026334,0,0,0
1738.0,0.00802648626,0,0,0
1740.0,0.00383886718,0,0,0
1742.0,0.0035719038,0,0,0
1744.0,0.00596942892,0,0,0
1746.0,0.0105194934,0,0,0
1748.0,0.0125715844,0,0,0
1750.0,0.0105073629,0,0,0
1752.0,0.00905210339,0,0,0
1754.0,0.00913464371,0,0,0
1756.0,0.00520066032,0,0,0
1758.0,0.00185452704,0,0,0
1760.0,0.00376510015,0,0,0
1762.0,0.00962215103,0,0,0
1764.0,0.0131199118,0,0,0
1766.0,0.0108409943,0,0,0
1768.0,0.00820777472,0,0,0
1770.0,0.0108026443,0,0,0
1772.0,0.0174376648,0,0,0
1774.0,0.022641236,0,0,0
1776.0,0.0213627573,0,0,0
1778.0,0.0156070767,0,0,0
1780.0,0.0120071536,0,0,0
1782.0,0.0119289877,0,0,0
1784.0,0.012465436,0,0,0
1786.0,0.00987061206,0,0,0
1788.0,0.00320382114,0,0,0
1790.0,6.94394112e-06,0,0,0
1792.0,0.00323660369,0,0,0
1794.0,0.0115606794,0,0,0
1796.0,0.0179163087,0,0,0
1798.0,0.0222411044,0,0,0
1800.0,0.0258387811,0,0,0
1802.0,0.0274734683,0,0,0
1804.0,0.0276213773,0,0,0
1806.0,0.0228765868,0,0,0
1808.0,0.0141570214,0,0,0
1810.0,0.00930879731,0,0,0
1812.0,0.00813571177,0,0,0
1814.0,0.0127463639,0,0,0
1816.0,0.0173856802,0,0,0
1818.0,0.0143040121,0,0,0
1820.0,0.0066987332,0,0,0
1822.0,0.00175036781,0,0,0
1824.0,0.00336437835,0,0,0
1826.0,0.00936935563,0,0,0
1828.0,0.0161275268,0,0,0
1830.0,0.0215852857,0,0,0
1832.0,0.0264813062,0,0,0
1834.0,0.0268039461,0,0,0
1836.0,0.0180617981,0,0,0
1838.0,0.00985486433,0,0,0
1840.0,0.00787272491,0,0,0
1842.0,0.0129415449,0,0,0
1844.0,0.0183284581,0,0,0
1846.0,0.0150631852,0,0,0
1848.0,0.00876176916,0,0,0
1850.0,0.0115249865,0,0,0
1852.0,0.0175489299,0,0,0
1854.0,0.0239686295,0,0,0
1856.0,0.0215704795,0,0,0
1858.0,0.0121589061,0,0,0
1860.0,0.0120089352,0,0,0
1862.0,0.0224136114,0,0,0
1864.0,0.0310940556,0,0,0
1866.0,0.0315456018,0,0,0
1868.0,0.0246015079,0,0,0
1870.0,0.0194359366,0,0,0
1872.0,0.0240910538,0,0,0
1874.0,0.030490119,0,0,0
1876.0,0.0304995142,0,0,0
1878.0,0.0207745675,0,0,0
1880.0,0.00771549344,0,0,0
1882.0,0.00376655464,0,0,0
1884.0,0.00882267393,0,0,0
1886.0,0.0136209317,0,0,0
1888.0,0.0137646087,0,0,0
1890.0,0.012677866,0,0,0
1892.0,0.0118542966,0,0,0
1894.0,0.0137607763,0,0,0
1896.0,0.0180405732,0,0,0
1898.0,0.0231744535,0,0,0
1900.0,0.0272850152,0,0,0
1902.0,0.0259986334,0,0,0
1904.0,0.0192315578,0,0,0
1906.0,0.0126958545,0,0,0
1908.0,0.00926109031,0,0,0
1910.0,0.00634450931,0,0,0
1912.0,0.00527387252,0,0,0
1914.0,0.00629803538,0,0,0
1916.0,0.010408449,0,0,0
1918.0,0.0173554607,0,0,0
1920.0,0.0212208331,0,0,0
1922.0,0.0220327042,0,0,0
1924.0,0.0193040445,0,0,0
1926.0,0.0135440826,0,0,0
1928.0,0.0074242414,0,0,0
1930.0,0.00395804364,0,0,0
1932.0,0.00523693813,0,0,0
1934.0,0.0124786794,0,0,0
1936.0,0.016977584,0,0,0
1938.0,0.0184267256,0,0,0
1940.0,0.0161891691,0,0,0
1942.0,0.0143364668,0,0,0
